neo4j-sh (?)$ profile match p = (n:Event)-->(m) where n.Year <= 1975 return n.EventID, m.cityName; 
+-----------------------------------+
| n.EventID    | m.cityName         |
| 197001000002 | <null>             |
| 197001000002 | <null>             |
| 197001000002 | "Athens"           |
| 197001000002 | <null>             |
| 197001000002 | <null>             |
| 197001100001 | <null>             |
| 197001100001 | <null>             |
| 197001100001 | <null>             |
| 197001100001 | <null>             |
| 197001100001 | "East Berlin"      |
| 197001100001 | <null>             |
| 197001100001 | <null>             |
| 197001090001 | <null>             |
| 197001090001 | <null>             |
| 197001090001 | <null>             |
| 197001090001 | <null>             |
| 197001090001 | "Detroit"          |
| 197001090001 | <null>             |
| 197001090001 | <null>             |
| 197001280002 | <null>             |
| 197001280002 | <null>             |
| 197001280002 | <null>             |
| 197001280002 | <null>             |
| 197001280002 | "Seattle"          |
| 197001280002 | <null>             |
| 197001280002 | <null>             |
| 197001300001 | <null>             |
| 197001300001 | <null>             |
| 197001300001 | <null>             |
| 197001300001 | <null>             |
| 197001300001 | "South Sioux City" |
| 197001300001 | <null>             |
| 197001300001 | <null>             |
| 197001110001 | <null>             |
| 197001110001 | <null>             |
| 197001110001 | <null>             |
| 197001110001 | <null>             |
| 197001110001 | "Unknown"          |
| 197001110001 | <null>             |
| 197001110001 | <null>             |
| 197001300002 | <null>             |
| 197001300002 | <null>             |
| 197001300002 | <null>             |
| 197001300002 | <null>             |
| 197001300002 | "South Sioux City" |
| 197001300002 | <null>             |
| 197001300002 | <null>             |
| 197001220001 | <null>             |
| 197001220001 | <null>             |
| 197001220001 | <null>             |
| 197001220001 | <null>             |
| 197001220001 | "Caracas"          |
| 197001220001 | <null>             |
| 197001220001 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001190004 | "Jersey City"      |
| 197001190004 | <null>             |
| 197001190004 | <null>             |
| 197001260003 | <null>             |
| 197001260003 | <null>             |
| 197001260003 | <null>             |
| 197001260003 | <null>             |
| 197001260003 | "New York City"    |
| 197001260003 | <null>             |
| 197001260003 | <null>             |
+-----------------------------------+
285 rows
186 ms

Compiler CYPHER 2.2-cost

Projection
  |
  +Expand
    |
    +Filter
      |
      +NodeByLabelScan

+-----------------+---------------+------+--------+-----------------------------+-------------------------------------+
|        Operator | EstimatedRows | Rows | DbHits |                 Identifiers |                               Other |
+-----------------+---------------+------+--------+-----------------------------+-------------------------------------+
|      Projection |            85 |  285 |   1140 | m, m.cityName, n, n.EventID |               n.EventID, m.cityName |
|          Expand |            85 |  285 |    325 |                        m, n |                        (n)-[:]->(m) |
|          Filter |            12 |   40 |     80 |                           n | Property(n,Year(8)) <= {  AUTOINT0} |
| NodeByLabelScan |            40 |   40 |     41 |                           n |                                 :20 |
+-----------------+---------------+------+--------+-----------------------------+-------------------------------------+

Total database accesses: 1586
